component,test_case,status,total_events,metric_name,metric_value
branch_predictor_1bit,all_taken,PASS,100,accuracy,100.00%
branch_predictor_1bit,all_not_taken,PASS,100,accuracy,99.00%
branch_predictor_1bit,single_taken,PASS,1,accuracy,100.00%
branch_predictor_1bit,single_not_taken,PASS,1,accuracy,0.00%
branch_predictor_1bit,opposite_1_0,PASS,2,accuracy,50.00%
branch_predictor_1bit,opposite_0_1,PASS,2,accuracy,0.00%
branch_predictor_1bit,strict_alternating,PASS,100,accuracy,1.00%
branch_predictor_1bit,long_taken_then_one_not_taken,PASS,100,accuracy,99.00%
branch_predictor_1bit,long_not_taken_then_one_taken,PASS,100,accuracy,98.00%
branch_predictor_1bit,repeated_loop_exit,PASS,100,accuracy,68.00%
branch_predictor_1bit,saturation_transition,PASS,20,accuracy,90.00%
branch_predictor_2bit,all_taken,PASS,100,accuracy,100.00%
branch_predictor_2bit,all_not_taken,PASS,100,accuracy,98.00%
branch_predictor_2bit,single_taken,PASS,1,accuracy,100.00%
branch_predictor_2bit,single_not_taken,PASS,1,accuracy,0.00%
branch_predictor_2bit,opposite_1_0,PASS,2,accuracy,50.00%
branch_predictor_2bit,opposite_0_1,PASS,2,accuracy,50.00%
branch_predictor_2bit,strict_alternating,PASS,100,accuracy,50.00%
branch_predictor_2bit,long_taken_then_one_not_taken,PASS,100,accuracy,99.00%
branch_predictor_2bit,long_not_taken_then_one_taken,PASS,100,accuracy,97.00%
branch_predictor_2bit,repeated_loop_exit,PASS,100,accuracy,84.00%
branch_predictor_2bit,saturation_transition,PASS,20,accuracy,80.00%
direct_mapped_cache,same_address_repeated,PASS,100,hit_rate,99.00%
direct_mapped_cache,same_block_offsets,PASS,96,hit_rate,98.96%
direct_mapped_cache,every_index,PASS,96,hit_rate,95.83%
direct_mapped_cache,conflict_thrashing,PASS,100,hit_rate,0.00%
direct_mapped_cache,multiple_same_index_tags,PASS,100,hit_rate,0.00%
direct_mapped_cache,max_address,PASS,100,hit_rate,99.00%
direct_mapped_cache,address_zero,PASS,1,hit_rate,0.00%
direct_mapped_cache,block_boundary,PASS,8,hit_rate,75.00%
direct_mapped_cache,capacity_pressure,PASS,96,hit_rate,0.00%
